district,sector,urban_rural,is_near_cbd,house_type,compound_type,num_bedrooms,floor_area_sqm,wall_material,floor_material,roof_material,has_electricity,has_piped_water,has_indoor_toilet,has_kitchen,has_parking,has_fence,has_lightning_rod,has_security_guard,has_water_tank,has_backup_generator,is_furnished,has_sofa,has_beds_mattresses,has_wardrobe,has_dining_set,has_tv,has_fridge,has_washing_machine,has_air_conditioning,has_internet_wifi,distance_to_cbd_km,road_access,num_rooms_total,monthly_rent_rwf,data_source,generated_date
Gasabo,Ndera,rural,0,standalone,standalone_open,2,42.6,brick,cement,iron_sheet,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15.3,murram,5,52000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,urban,0,standalone,apartment_block,3,55.1,concrete,tiles,iron_sheet,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.8,tarmac,6,130000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gatsata,urban,0,villa,ghetto,5,75.0,concrete,cement,iron_sheet,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,5.1,murram,7,488000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gikomero,rural,0,shared_compound,ghetto,2,48.7,mud_brick,cement,tiles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,murram,3,10000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,peri_urban,0,apartment,standalone_open,3,55.6,mud_brick,cement,iron_sheet,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,8.0,tarmac,5,111000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,shared_compound,gated_community,2,40.2,concrete,earth,tiles,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1.7,murram,5,236000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gikomero,rural,0,apartment,standalone_open,3,84.5,mud_brick,earth,iron_sheet,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,murram,6,61000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,peri_urban,0,standalone,standalone_fenced,2,52.2,brick,cement,tiles,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,11.6,murram,3,107000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kinyinya,urban,0,standalone,standalone_fenced,2,55.3,brick,tiles,iron_sheet,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,6.4,tarmac,3,123000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,rural,0,apartment,standalone_fenced,3,51.0,mud_brick,cement,iron_sheet,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,footpath,5,83000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Bumbogo,rural,0,standalone,ghetto,3,78.2,mud_brick,cement,iron_sheet,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,footpath,6,72000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,urban,0,villa,apartment_block,3,40.7,mixed,cement,iron_sheet,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,5.1,murram,4,324000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,peri_urban,0,shared_compound,gated_community,1,18.0,mixed,cement,iron_sheet,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,17.9,footpath,3,145000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,peri_urban,0,standalone,standalone_fenced,2,33.8,brick,cement,iron_sheet,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6,murram,4,110000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,apartment,apartment_block,1,21.3,mixed,tiles,iron_sheet,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,2.5,tarmac,4,276000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,peri_urban,0,apartment,standalone_open,1,18.0,brick,cement,concrete,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0,murram,2,21000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,villa,standalone_open,3,66.8,brick,cement,tiles,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2.3,tarmac,4,588000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rusororo,peri_urban,0,apartment,standalone_fenced,1,21.9,concrete,earth,iron_sheet,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18.8,murram,2,65000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,0,apartment,standalone_fenced,3,43.7,concrete,cement,grass,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,4.2,tarmac,4,245000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,rural,0,standalone,standalone_open,2,34.3,mud_brick,earth,iron_sheet,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,13.2,murram,4,187000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jali,peri_urban,0,standalone,standalone_open,2,39.7,mud_brick,tiles,iron_sheet,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,19.8,footpath,3,38000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,standalone,apartment_block,3,83.7,brick,tiles,iron_sheet,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,tarmac,5,171000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,villa,standalone_fenced,5,87.9,concrete,tiles,tiles,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.9,tarmac,8,655000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,0,apartment,ghetto,2,33.5,mixed,tiles,iron_sheet,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,4.4,murram,5,208000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,peri_urban,0,apartment,ghetto,3,79.1,mud_brick,earth,tiles,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,19.4,murram,6,60000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,apartment,gated_community,1,18.2,concrete,cement,tiles,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,3.0,murram,2,359000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kinyinya,rural,0,standalone,standalone_open,2,37.0,wood,earth,tiles,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.2,footpath,4,81000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,standalone,apartment_block,3,49.0,mud_brick,earth,iron_sheet,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.1,murram,5,230000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,apartment,apartment_block,2,40.3,brick,cement,grass,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2.3,tarmac,4,338000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,0,villa,apartment_block,4,93.7,brick,tiles,tiles,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,5.0,tarmac,6,529000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,rural,0,standalone,ghetto,1,23.0,brick,earth,iron_sheet,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,footpath,3,12000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gatsata,urban,1,apartment,apartment_block,1,18.0,mixed,tiles,tiles,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,3.1,tarmac,3,283000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,rural,0,standalone,ghetto,2,57.1,wood,earth,iron_sheet,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,footpath,3,73000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gikomero,rural,0,standalone,standalone_open,1,18.0,mud_brick,earth,iron_sheet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3,murram,3,10000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rusororo,rural,0,standalone,standalone_open,4,82.7,brick,earth,tiles,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.6,murram,5,65000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jali,rural,0,standalone,ghetto,4,64.3,mud_brick,earth,iron_sheet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,tarmac,5,52000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,peri_urban,1,apartment,standalone_open,1,22.7,concrete,cement,iron_sheet,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.6,murram,3,165000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,peri_urban,0,standalone,gated_community,2,54.9,mud_brick,cement,tiles,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,9.0,murram,5,321000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gikomero,rural,0,standalone,ghetto,3,60.9,mud_brick,earth,iron_sheet,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0,murram,6,30000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,standalone,standalone_fenced,2,27.9,concrete,cement,tiles,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.9,murram,3,197000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rusororo,peri_urban,0,standalone,standalone_fenced,3,51.5,mud_brick,cement,iron_sheet,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,20.0,tarmac,5,139000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,rural,0,standalone,standalone_fenced,3,47.2,mud_brick,earth,iron_sheet,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,12.0,footpath,4,259000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,peri_urban,1,standalone,standalone_fenced,4,90.6,mud_brick,tiles,iron_sheet,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,tarmac,5,189000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gikomero,rural,0,standalone,gated_community,1,27.5,mud_brick,cement,iron_sheet,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24.2,murram,2,110000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kimironko,urban,0,standalone,apartment_block,1,18.0,concrete,tiles,tiles,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,tarmac,3,129000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,apartment,gated_community,2,44.2,brick,tiles,iron_sheet,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1.0,tarmac,5,463000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,peri_urban,0,shared_compound,standalone_fenced,1,23.7,brick,cement,iron_sheet,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,12.1,tarmac,2,60000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,peri_urban,0,apartment,ghetto,2,57.2,brick,earth,iron_sheet,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.1,tarmac,5,82000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kimironko,urban,1,standalone,gated_community,1,18.1,concrete,cement,tiles,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3.2,tarmac,3,257000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jali,rural,0,shared_compound,standalone_fenced,1,22.9,mud_brick,cement,iron_sheet,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.5,murram,3,35000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,rural,0,standalone,standalone_open,2,33.3,mud_brick,earth,iron_sheet,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.3,murram,3,60000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,rural,0,standalone,ghetto,1,20.3,brick,earth,iron_sheet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,murram,3,10000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,rural,0,shared_compound,standalone_open,1,18.6,brick,cement,iron_sheet,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,murram,4,28000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kinyinya,urban,0,standalone,standalone_fenced,2,36.7,concrete,tiles,iron_sheet,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,tarmac,4,121000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kinyinya,peri_urban,0,standalone,standalone_fenced,3,46.6,mud_brick,cement,iron_sheet,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5.5,murram,4,135000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gatsata,urban,1,villa,apartment_block,4,58.7,brick,tiles,iron_sheet,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2.7,tarmac,7,540000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,peri_urban,0,standalone,standalone_open,4,92.8,brick,cement,iron_sheet,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,tarmac,7,109000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,peri_urban,0,standalone,ghetto,1,21.6,mud_brick,cement,iron_sheet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,footpath,2,10000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rutunga,rural,0,standalone,gated_community,2,36.4,wood,cement,grass,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24.7,murram,5,116000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,rural,0,standalone,gated_community,2,44.7,mud_brick,cement,tiles,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.6,footpath,3,166000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jabana,rural,0,apartment,ghetto,4,73.1,mud_brick,earth,iron_sheet,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12.8,murram,7,88000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rutunga,rural,0,standalone,ghetto,2,49.2,wood,cement,iron_sheet,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.6,murram,3,17000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jali,rural,0,standalone,standalone_open,2,30.0,mixed,cement,grass,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.1,footpath,4,25000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,standalone,standalone_fenced,3,61.5,concrete,cement,tiles,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.3,tarmac,6,216000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rusororo,rural,0,standalone,standalone_open,2,42.8,brick,cement,iron_sheet,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.5,murram,3,62000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,rural,0,apartment,standalone_open,1,18.3,brick,cement,iron_sheet,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.1,footpath,4,34000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,peri_urban,0,standalone,standalone_fenced,3,68.6,concrete,cement,iron_sheet,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,6.7,murram,5,147000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,peri_urban,0,apartment,ghetto,3,57.2,mud_brick,cement,concrete,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,13.7,murram,4,98000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jali,peri_urban,0,standalone,standalone_fenced,4,74.6,brick,cement,tiles,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,21.5,murram,7,105000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Nduba,rural,0,standalone,standalone_open,4,59.8,mud_brick,earth,tiles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,footpath,7,39000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,0,villa,apartment_block,3,74.6,brick,cement,tiles,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,4.9,tarmac,4,551000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kimironko,urban,0,villa,apartment_block,4,67.6,brick,cement,iron_sheet,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,4.9,tarmac,6,568000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,villa,ghetto,3,65.1,concrete,tiles,iron_sheet,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1.4,tarmac,5,384000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kinyinya,peri_urban,0,shared_compound,ghetto,1,21.1,mud_brick,cement,iron_sheet,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.7,murram,2,51000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gikomero,rural,0,standalone,ghetto,2,52.8,mud_brick,cement,grass,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,footpath,5,28000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,urban,0,apartment,gated_community,3,77.0,mud_brick,tiles,concrete,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,7.7,tarmac,6,373000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,standalone,standalone_open,1,18.0,brick,cement,iron_sheet,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2.2,murram,4,149000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,standalone,standalone_fenced,3,82.3,brick,cement,iron_sheet,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2.0,tarmac,5,197000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,apartment,apartment_block,3,64.3,concrete,tiles,concrete,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1.6,murram,4,226000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Bumbogo,rural,0,standalone,standalone_open,1,23.0,brick,cement,iron_sheet,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,footpath,2,51000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Bumbogo,rural,0,standalone,standalone_open,2,37.5,brick,earth,iron_sheet,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.5,tarmac,3,81000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,peri_urban,1,standalone,standalone_fenced,3,54.7,brick,cement,iron_sheet,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3.1,tarmac,6,204000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,apartment,ghetto,1,23.6,concrete,cement,grass,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1.6,tarmac,2,324000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,peri_urban,0,shared_compound,standalone_fenced,1,27.6,mixed,tiles,tiles,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.6,murram,3,71000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rusororo,rural,0,shared_compound,standalone_open,2,41.3,mud_brick,earth,iron_sheet,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.4,murram,3,33000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,apartment,standalone_fenced,1,18.1,concrete,tiles,iron_sheet,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1.3,tarmac,3,321000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Jali,rural,0,standalone,ghetto,2,52.8,mud_brick,tiles,iron_sheet,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,murram,4,25000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Ndera,rural,0,shared_compound,standalone_fenced,1,18.0,brick,earth,iron_sheet,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,murram,2,36000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,villa,gated_community,3,44.1,brick,tiles,iron_sheet,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2.1,tarmac,5,683000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Gisozi,rural,0,shared_compound,standalone_fenced,1,20.7,mud_brick,cement,iron_sheet,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,murram,3,69000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,apartment,apartment_block,2,28.9,mixed,tiles,tiles,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1.1,tarmac,4,229000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,rural,0,shared_compound,standalone_open,2,30.0,concrete,earth,iron_sheet,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.4,murram,4,47000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,apartment,apartment_block,2,50.1,concrete,cement,concrete,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1.7,murram,3,336000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kimironko,urban,1,standalone,apartment_block,3,47.2,brick,tiles,concrete,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,3.3,tarmac,4,235000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Shyorongi,rural,0,standalone,ghetto,2,55.0,brick,earth,iron_sheet,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.7,footpath,4,42000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Bumbogo,peri_urban,0,apartment,ghetto,3,70.0,brick,cement,iron_sheet,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,14.6,murram,6,87000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kimironko,peri_urban,0,standalone,standalone_open,2,40.1,mud_brick,earth,iron_sheet,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,6.1,murram,5,152000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Remera,urban,1,apartment,apartment_block,1,25.6,brick,cement,tiles,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,3.9,murram,2,294000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Rusororo,rural,0,standalone,standalone_fenced,4,65.5,mixed,earth,iron_sheet,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,footpath,7,82000,synthetic_nisr_calibrated,2026-07-13
Gasabo,Kacyiru,urban,1,standalone,standalone_fenced,2,44.3,concrete,tiles,tiles,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5,tarmac,5,176000,synthetic_nisr_calibrated,2026-07-13
