district,sector,urban_rural,is_near_lake,house_type,num_bedrooms,num_rooms_total,floor_area_sqm,wall_material,floor_material,roof_material,has_electricity,has_piped_water,has_indoor_toilet,has_kitchen,has_parking,distance_to_town_km,road_access,monthly_rent_rwf,data_source,generated_date
Nyamasheke,Cyato,rural,0,standalone,1,4,57.3,mixed,wood,iron_sheet,1,1,1,0,0,12.6,footpath,32500.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,standalone,1,3,46.8,concrete,earth,tiles,1,0,1,1,0,5.9,murram,50400.0,synthetic,2026-06-19
Nyamasheke,Nkanka,urban,0,villa,4,6,93.2,mixed,cement,tiles,1,1,1,1,1,0.9,footpath,150200.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,standalone,2,5,63.0,brick,cement,iron_sheet,0,0,0,1,0,27.5,murram,17100.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,1,standalone,2,4,48.3,brick,earth,iron_sheet,0,0,0,1,0,11.6,footpath,22100.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,apartment,1,4,56.1,mud_brick,cement,iron_sheet,1,0,0,0,0,26.9,footpath,15800.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,0,standalone,3,5,90.6,mud_brick,cement,iron_sheet,0,0,0,1,0,21.7,footpath,11600.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,standalone,3,5,73.7,mud_brick,tiles,iron_sheet,0,0,0,1,0,8.6,tarmac,44200.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,villa,5,8,141.8,mud_brick,earth,tiles,1,0,0,0,0,13.7,murram,58100.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,apartment,1,2,56.0,mud_brick,cement,iron_sheet,0,0,0,0,0,11.8,murram,9400.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,shared_compound,1,2,60.0,mud_brick,cement,grass,0,0,0,1,0,12.8,footpath,16100.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,apartment,2,3,70.3,concrete,cement,iron_sheet,0,0,0,1,0,28.0,murram,19700.0,synthetic,2026-06-19
Nyamasheke,Mahembe,peri_urban,0,duplex,3,5,76.3,brick,cement,grass,1,0,0,1,1,3.2,tarmac,61600.0,synthetic,2026-06-19
Nyamasheke,Mahembe,rural,0,standalone,3,6,84.1,mud_brick,cement,tiles,0,0,0,0,0,13.6,footpath,15900.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,1,standalone,2,4,51.2,brick,cement,iron_sheet,1,0,0,1,0,17.5,tarmac,35300.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,standalone,2,4,64.1,wood,tiles,iron_sheet,1,0,0,1,1,3.0,tarmac,57400.0,synthetic,2026-06-19
Nyamasheke,Cyato,urban,0,apartment,2,3,57.0,mixed,cement,tiles,1,0,1,1,0,1.1,tarmac,86900.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,0,shared_compound,1,2,41.3,mud_brick,cement,tiles,0,0,0,1,0,21.7,murram,8000.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,standalone,3,4,68.0,concrete,earth,grass,0,1,1,1,1,18.2,murram,27500.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,2,5,62.5,mud_brick,earth,tiles,1,1,0,1,0,15.9,footpath,25900.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,2,4,79.1,mud_brick,earth,iron_sheet,0,0,0,1,0,18.7,murram,12300.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,1,standalone,3,4,81.5,brick,cement,iron_sheet,0,0,0,0,1,23.8,footpath,23700.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,standalone,2,4,65.6,mud_brick,earth,grass,1,0,1,1,0,9.4,tarmac,35400.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,apartment,1,4,42.4,mud_brick,earth,tiles,0,0,0,1,1,24.7,murram,8000.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,0,apartment,2,4,66.6,mud_brick,earth,iron_sheet,1,0,0,0,0,3.0,footpath,27800.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,duplex,3,4,73.8,brick,tiles,tiles,1,0,0,1,0,19.8,murram,51600.0,synthetic,2026-06-19
Nyamasheke,Mahembe,rural,0,duplex,1,2,43.2,mud_brick,cement,iron_sheet,0,0,1,1,0,19.1,murram,11200.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,standalone,3,6,81.2,mud_brick,earth,iron_sheet,1,0,0,1,0,14.7,tarmac,35700.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,0,villa,4,7,69.5,mud_brick,earth,iron_sheet,1,0,1,0,0,1.8,murram,78400.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,1,apartment,2,3,64.0,mud_brick,earth,iron_sheet,1,0,0,1,1,27.7,footpath,27300.0,synthetic,2026-06-19
Nyamasheke,Shangi,peri_urban,0,apartment,3,5,85.4,mud_brick,earth,iron_sheet,0,1,0,0,1,9.2,footpath,38200.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,apartment,1,4,38.8,brick,cement,iron_sheet,0,1,0,0,1,29.1,footpath,15700.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,apartment,2,5,69.1,mud_brick,earth,tiles,0,1,0,1,0,8.8,tarmac,40100.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,1,shared_compound,2,3,50.5,mud_brick,earth,grass,0,0,0,1,1,19.3,footpath,12800.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,1,standalone,2,3,54.8,mud_brick,cement,concrete,0,0,0,1,0,12.1,footpath,23400.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,0,duplex,1,3,45.3,concrete,cement,iron_sheet,0,0,1,1,0,18.9,footpath,12400.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,1,standalone,3,6,86.4,mud_brick,wood,iron_sheet,0,0,1,1,0,11.6,footpath,34400.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,0,apartment,3,4,84.1,brick,wood,iron_sheet,1,0,0,0,1,1.4,murram,88400.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,0,shared_compound,2,4,55.5,concrete,earth,grass,1,0,0,0,0,22.1,murram,12800.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,standalone,2,5,67.7,brick,cement,iron_sheet,1,0,0,1,1,28.2,footpath,30400.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,2,3,55.9,mud_brick,cement,iron_sheet,0,0,0,1,0,21.4,footpath,8000.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,apartment,2,4,68.8,brick,earth,grass,1,0,1,1,0,23.2,murram,24100.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,0,standalone,2,4,50.2,mud_brick,tiles,iron_sheet,1,0,0,1,0,20.0,murram,20700.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,1,apartment,1,4,42.7,brick,tiles,iron_sheet,1,1,1,1,1,2.4,tarmac,92600.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,standalone,3,6,92.8,mud_brick,cement,grass,0,1,1,1,0,8.0,footpath,35700.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,0,duplex,2,4,54.1,concrete,cement,tiles,0,1,1,1,1,0.5,tarmac,112700.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,shared_compound,1,3,50.1,mud_brick,cement,iron_sheet,1,0,0,1,0,17.1,murram,19100.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,1,apartment,2,4,67.2,mud_brick,earth,iron_sheet,0,0,0,0,0,23.8,murram,12900.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,villa,4,7,96.8,brick,earth,iron_sheet,0,1,0,0,0,24.6,murram,25900.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,0,villa,4,6,101.2,concrete,cement,iron_sheet,1,0,0,0,0,17.9,footpath,39600.0,synthetic,2026-06-19
Nyamasheke,Kibogora,urban,0,villa,4,5,112.2,concrete,tiles,iron_sheet,1,1,1,1,1,1.6,murram,167000.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,standalone,2,3,63.0,brick,cement,iron_sheet,0,0,0,1,0,20.0,murram,12700.0,synthetic,2026-06-19
Nyamasheke,Nkanka,urban,1,standalone,1,2,44.1,brick,cement,tiles,1,1,1,1,1,0.7,footpath,84100.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,standalone,1,2,41.1,concrete,cement,iron_sheet,0,0,0,1,0,13.6,footpath,8000.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,apartment,1,3,51.5,mud_brick,cement,concrete,1,1,1,1,0,7.3,tarmac,52500.0,synthetic,2026-06-19
Nyamasheke,Mahembe,rural,0,shared_compound,1,4,54.4,concrete,cement,iron_sheet,0,0,0,1,0,20.7,murram,8000.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,standalone,3,4,91.4,mud_brick,cement,iron_sheet,0,0,0,1,0,12.1,footpath,29700.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,shared_compound,1,2,41.5,mud_brick,cement,iron_sheet,1,0,0,1,0,20.7,murram,13200.0,synthetic,2026-06-19
Nyamasheke,Kibogora,urban,0,apartment,2,4,62.6,mud_brick,wood,tiles,1,0,1,1,1,0.5,tarmac,90000.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,villa,3,4,92.9,brick,earth,tiles,0,1,1,1,0,16.1,murram,40500.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,0,apartment,2,5,81.3,brick,tiles,tiles,1,1,1,1,1,2.1,murram,110400.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,shared_compound,1,4,47.7,mud_brick,wood,iron_sheet,1,0,1,1,0,22.1,footpath,14400.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,standalone,1,3,42.0,mud_brick,cement,iron_sheet,0,1,1,0,1,10.0,tarmac,31100.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,standalone,2,4,66.0,brick,wood,iron_sheet,0,0,0,0,0,11.2,murram,17300.0,synthetic,2026-06-19
Nyamasheke,Nkanka,peri_urban,0,apartment,2,5,75.1,mud_brick,cement,iron_sheet,1,0,0,1,1,4.7,tarmac,49700.0,synthetic,2026-06-19
Nyamasheke,Nkanka,peri_urban,0,standalone,3,4,61.2,wood,cement,concrete,1,0,1,1,1,3.7,tarmac,55800.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,0,standalone,2,4,71.4,mud_brick,earth,tiles,1,1,0,1,1,4.8,murram,47800.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,standalone,3,6,75.3,brick,cement,tiles,0,0,0,0,0,10.2,footpath,21600.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,shared_compound,2,5,49.6,brick,cement,iron_sheet,0,0,1,0,0,22.5,murram,8000.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,apartment,2,4,69.3,mud_brick,cement,iron_sheet,1,1,1,1,0,3.3,tarmac,66900.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,1,3,55.3,brick,earth,concrete,1,0,1,0,0,22.7,murram,21600.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,standalone,2,4,83.4,mud_brick,earth,iron_sheet,1,1,0,1,1,8.1,tarmac,47600.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,apartment,3,6,92.3,mud_brick,cement,tiles,1,1,0,0,1,23.2,murram,40000.0,synthetic,2026-06-19
Nyamasheke,Nkanka,peri_urban,0,standalone,2,4,78.6,concrete,earth,tiles,1,1,1,1,0,6.5,tarmac,57500.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,standalone,3,5,78.0,brick,earth,tiles,0,0,0,1,0,7.1,tarmac,46000.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,1,standalone,3,4,79.0,brick,cement,concrete,0,1,1,1,0,8.1,tarmac,72400.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,shared_compound,1,2,49.1,concrete,earth,iron_sheet,1,0,1,1,0,5.5,tarmac,44100.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,0,apartment,1,2,49.6,mud_brick,earth,iron_sheet,1,0,1,1,0,3.3,footpath,34600.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,0,standalone,1,2,53.0,wood,earth,iron_sheet,0,0,0,1,0,15.4,footpath,8000.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,0,standalone,1,3,44.8,mud_brick,cement,iron_sheet,0,0,0,0,1,17.9,footpath,8000.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,1,standalone,3,4,83.1,wood,cement,iron_sheet,0,0,0,0,1,21.2,murram,22100.0,synthetic,2026-06-19
Nyamasheke,Nkanka,peri_urban,0,shared_compound,1,3,51.3,mud_brick,earth,tiles,0,0,1,1,1,5.0,murram,27700.0,synthetic,2026-06-19
Nyamasheke,Kagano,urban,1,apartment,2,3,54.1,concrete,cement,iron_sheet,1,1,1,1,0,3.0,murram,88300.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,apartment,2,4,60.8,mud_brick,earth,iron_sheet,0,0,0,1,0,15.5,murram,22000.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,0,apartment,2,4,67.8,mixed,cement,concrete,0,0,0,1,1,0.9,tarmac,88300.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,1,apartment,3,6,73.7,concrete,cement,concrete,1,1,0,1,0,0.6,murram,125800.0,synthetic,2026-06-19
Nyamasheke,Kagano,urban,0,standalone,4,6,104.1,brick,tiles,iron_sheet,1,1,1,1,0,2.3,murram,104800.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,3,4,81.3,brick,cement,tiles,0,0,0,0,0,10.1,footpath,20300.0,synthetic,2026-06-19
Nyamasheke,Kibogora,urban,0,standalone,2,4,60.9,brick,earth,iron_sheet,1,1,1,1,1,2.2,tarmac,80600.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,apartment,2,3,63.1,wood,earth,iron_sheet,0,1,1,1,1,5.0,footpath,39700.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,1,apartment,2,5,67.9,mud_brick,earth,iron_sheet,0,0,0,1,0,26.5,tarmac,17900.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,shared_compound,2,3,74.3,mud_brick,earth,iron_sheet,1,0,1,1,1,6.7,tarmac,47600.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,duplex,3,4,77.2,mud_brick,cement,iron_sheet,1,0,0,1,0,13.4,footpath,29700.0,synthetic,2026-06-19
Nyamasheke,Nkanka,peri_urban,0,standalone,2,3,69.6,mud_brick,cement,concrete,0,0,1,0,0,7.2,footpath,32300.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,apartment,2,3,65.8,brick,tiles,iron_sheet,1,1,0,1,0,14.4,murram,36200.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,0,shared_compound,1,4,54.8,brick,cement,concrete,0,0,0,1,0,9.4,murram,27200.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,shared_compound,1,4,46.4,concrete,earth,grass,0,1,1,1,0,7.2,tarmac,45100.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,1,standalone,3,5,79.3,mud_brick,cement,grass,0,1,0,0,1,11.3,murram,34700.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,2,4,79.3,mud_brick,cement,tiles,0,0,1,1,0,20.9,footpath,15100.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,apartment,2,5,62.3,mud_brick,cement,tiles,1,0,0,1,0,27.8,murram,16400.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,standalone,1,3,40.3,concrete,cement,tiles,1,0,0,0,1,4.6,footpath,47600.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,duplex,2,5,59.6,brick,earth,grass,0,1,0,1,0,26.5,footpath,8000.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,0,standalone,2,3,64.7,mud_brick,earth,tiles,0,1,0,0,0,23.5,murram,11700.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,villa,3,5,79.4,mixed,tiles,iron_sheet,0,0,0,1,0,19.5,murram,23500.0,synthetic,2026-06-19
Nyamasheke,Shangi,urban,0,apartment,3,4,90.5,mud_brick,tiles,iron_sheet,0,1,1,1,0,2.4,tarmac,86000.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,standalone,3,4,81.9,concrete,cement,iron_sheet,0,0,1,1,1,11.2,tarmac,41200.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,1,4,57.1,mud_brick,cement,tiles,1,0,0,0,0,26.1,murram,10900.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,1,apartment,3,6,57.0,mud_brick,cement,iron_sheet,0,1,1,1,1,24.0,murram,34300.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,standalone,2,5,68.8,brick,earth,iron_sheet,1,0,0,1,0,19.6,murram,23600.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,1,standalone,2,4,50.0,brick,cement,iron_sheet,0,0,0,1,0,13.8,footpath,22800.0,synthetic,2026-06-19
Nyamasheke,Kagano,peri_urban,0,apartment,2,4,75.4,concrete,cement,iron_sheet,0,1,0,1,0,3.9,murram,45600.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,0,apartment,1,3,40.7,concrete,earth,iron_sheet,1,0,0,1,0,26.9,murram,12400.0,synthetic,2026-06-19
Nyamasheke,Mahembe,rural,1,standalone,4,5,73.7,brick,tiles,tiles,1,0,0,1,0,15.6,murram,51000.0,synthetic,2026-06-19
Nyamasheke,Mahembe,rural,0,apartment,3,4,86.5,brick,cement,iron_sheet,0,0,0,0,0,18.3,footpath,16600.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,0,shared_compound,1,2,40.6,mud_brick,tiles,iron_sheet,1,1,0,1,0,7.1,tarmac,31500.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,apartment,1,3,39.7,mud_brick,earth,iron_sheet,1,0,0,1,0,3.1,tarmac,36500.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,shared_compound,2,4,73.5,mud_brick,earth,iron_sheet,0,0,0,1,1,4.6,murram,30600.0,synthetic,2026-06-19
Nyamasheke,Cyato,peri_urban,0,shared_compound,2,5,73.5,mud_brick,earth,iron_sheet,1,1,1,1,0,3.4,murram,42800.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,0,apartment,2,4,56.2,mud_brick,earth,iron_sheet,1,0,0,1,0,17.8,footpath,16900.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,urban,0,apartment,3,4,91.5,mixed,cement,iron_sheet,0,1,1,1,0,2.9,footpath,84800.0,synthetic,2026-06-19
Nyamasheke,Mahembe,peri_urban,0,standalone,2,5,56.4,mud_brick,earth,tiles,1,1,1,1,1,4.4,footpath,49000.0,synthetic,2026-06-19
Nyamasheke,Kibogora,urban,0,standalone,2,5,52.0,mud_brick,earth,grass,1,1,1,1,1,2.9,tarmac,61000.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,0,standalone,3,5,90.3,mud_brick,earth,iron_sheet,1,0,0,0,0,27.0,footpath,12900.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,0,apartment,1,2,53.4,wood,cement,iron_sheet,0,0,0,0,0,18.9,murram,8000.0,synthetic,2026-06-19
Nyamasheke,Shangi,rural,0,standalone,3,4,80.4,mud_brick,cement,iron_sheet,0,0,0,1,0,29.0,murram,8000.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,1,standalone,2,5,79.9,mud_brick,cement,tiles,1,0,0,0,0,21.9,tarmac,37100.0,synthetic,2026-06-19
Nyamasheke,Kagano,rural,1,standalone,1,4,47.4,brick,cement,tiles,0,1,0,0,0,10.8,murram,32000.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,4,7,76.8,mud_brick,tiles,iron_sheet,0,0,0,1,0,25.2,footpath,10200.0,synthetic,2026-06-19
Nyamasheke,Nkanka,rural,0,standalone,2,5,80.6,concrete,earth,iron_sheet,1,0,0,1,0,25.6,murram,22900.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,1,standalone,3,4,89.3,brick,earth,concrete,0,0,0,0,0,12.4,murram,34100.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,rural,0,standalone,2,3,76.0,brick,cement,grass,0,0,0,1,0,17.7,tarmac,19500.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,apartment,1,4,51.4,brick,cement,iron_sheet,0,0,0,1,1,9.7,tarmac,50300.0,synthetic,2026-06-19
Nyamasheke,Nkanka,peri_urban,0,standalone,3,4,86.1,brick,cement,tiles,1,0,1,0,0,5.0,tarmac,62400.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,standalone,1,4,37.4,mud_brick,cement,iron_sheet,0,0,1,1,0,12.3,footpath,11500.0,synthetic,2026-06-19
Nyamasheke,Cyato,urban,0,villa,5,7,123.2,mud_brick,cement,concrete,1,0,1,1,1,0.7,murram,164000.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,apartment,1,4,34.3,wood,earth,iron_sheet,1,1,1,1,0,9.8,tarmac,36700.0,synthetic,2026-06-19
Nyamasheke,Kibogora,peri_urban,0,standalone,2,3,50.0,mud_brick,cement,iron_sheet,1,0,1,1,0,3.4,murram,39500.0,synthetic,2026-06-19
Nyamasheke,Mahembe,rural,1,standalone,3,5,75.4,wood,earth,iron_sheet,0,0,0,1,0,15.2,murram,25400.0,synthetic,2026-06-19
Nyamasheke,Kanjuongo,peri_urban,1,apartment,1,2,36.9,concrete,cement,iron_sheet,0,0,0,1,0,6.2,murram,41300.0,synthetic,2026-06-19
Nyamasheke,Kibogora,rural,1,shared_compound,2,5,60.0,concrete,earth,iron_sheet,0,1,0,1,0,14.1,footpath,26800.0,synthetic,2026-06-19
Nyamasheke,Nkanka,urban,1,standalone,3,5,80.8,concrete,cement,iron_sheet,1,1,0,1,0,1.6,tarmac,103300.0,synthetic,2026-06-19
Nyamasheke,Cyato,rural,0,duplex,1,4,39.7,mud_brick,tiles,iron_sheet,0,0,1,1,0,26.5,murram,8000.0,synthetic,2026-06-19
