district,sector,urban_rural,house_type,num_bedrooms,num_rooms_total,floor_area_sqm,wall_material,floor_material,roof_material,has_electricity,has_piped_water,has_indoor_toilet,has_kitchen,has_parking,distance_to_cbd_km,road_access,is_near_cbd,monthly_rent_rwf,data_source
Gasabo,Kacyiru,rural,apartment,3,4,49.1,mud_brick,earth,grass,1,0,1,0,0,11.4,footpath,0,23000,EICV5_synthetic
Gasabo,Gisozi,peri_urban,standalone,3,6,43.4,brick,tiles,iron_sheet,1,0,0,1,1,9.7,tarmac,0,46000,EICV5_synthetic
Gasabo,Rusororo,rural,apartment,2,4,29.9,mixed,earth,grass,0,1,1,1,0,11.9,murram,0,28000,EICV5_synthetic
Gasabo,Kinyinya,urban,apartment,1,4,20.3,brick,tiles,concrete,1,1,1,0,0,4.2,murram,0,67000,EICV5_synthetic
Gasabo,Kimironko,rural,apartment,1,4,19.3,mud_brick,earth,iron_sheet,0,0,1,1,0,19.8,murram,0,26000,EICV5_synthetic
Gasabo,Rusororo,peri_urban,standalone,2,5,48.4,concrete,cement,iron_sheet,1,1,0,1,1,3.7,footpath,0,79000,EICV5_synthetic
Gasabo,Remera,urban,apartment,3,4,68.8,concrete,tiles,iron_sheet,1,1,1,1,1,0.6,murram,1,153000,EICV5_synthetic
Gasabo,Kimironko,peri_urban,standalone,3,4,72.1,mud_brick,tiles,iron_sheet,1,1,1,1,0,8.8,footpath,0,52000,EICV5_synthetic
Gasabo,Shyorongi,urban,apartment,3,6,53.8,brick,cement,iron_sheet,1,1,1,1,0,1.3,tarmac,1,61000,EICV5_synthetic
Gasabo,Bumbogo,urban,shared_compound,2,5,31.9,brick,cement,tiles,1,1,0,1,0,0.7,tarmac,1,94000,EICV5_synthetic
Gasabo,Jali,urban,standalone,2,4,38.6,concrete,tiles,iron_sheet,1,1,0,1,1,0.7,murram,1,90000,EICV5_synthetic
Gasabo,Remera,urban,apartment,5,8,109.5,brick,cement,iron_sheet,1,0,1,1,0,2.8,tarmac,1,40000,EICV5_synthetic
Gasabo,Jabana,peri_urban,standalone,1,2,20.7,concrete,cement,iron_sheet,1,0,0,1,0,5.2,tarmac,0,64000,EICV5_synthetic
Gasabo,Shyorongi,urban,standalone,2,3,50.8,brick,cement,iron_sheet,1,1,1,0,1,1.7,tarmac,1,55000,EICV5_synthetic
Gasabo,Jabana,rural,shared_compound,3,4,53.4,brick,cement,grass,1,0,1,1,0,10.7,murram,0,25000,EICV5_synthetic
Gasabo,Ndera,rural,standalone,3,4,52.7,brick,cement,iron_sheet,0,1,0,1,1,12.2,footpath,0,26000,EICV5_synthetic
Gasabo,Kimironko,urban,apartment,2,5,43.9,concrete,cement,iron_sheet,0,0,1,1,1,1.4,murram,1,77000,EICV5_synthetic
Gasabo,Kimironko,urban,apartment,4,6,91.2,mud_brick,cement,iron_sheet,1,1,0,0,1,2.3,tarmac,1,111000,EICV5_synthetic
Gasabo,Remera,rural,standalone,2,3,44.8,mixed,earth,iron_sheet,0,0,0,0,1,21.7,footpath,0,20000,EICV5_synthetic
Gasabo,Gisozi,urban,apartment,1,3,23.0,brick,tiles,iron_sheet,1,1,1,1,0,1.6,tarmac,1,54000,EICV5_synthetic
Gasabo,Rusororo,urban,apartment,4,5,90.8,concrete,tiles,iron_sheet,1,1,1,1,0,4.5,tarmac,0,57000,EICV5_synthetic
Gasabo,Remera,peri_urban,villa,4,7,92.2,concrete,tiles,tiles,1,0,1,0,0,5.2,murram,0,32000,EICV5_synthetic
Gasabo,Jali,rural,apartment,2,4,34.2,mud_brick,earth,iron_sheet,1,1,1,1,0,13.2,footpath,0,34000,EICV5_synthetic
Gasabo,Jali,peri_urban,standalone,1,4,16.2,brick,earth,iron_sheet,1,1,1,1,0,11.8,murram,0,38000,EICV5_synthetic
Gasabo,Rusororo,rural,shared_compound,1,2,21.3,mud_brick,earth,grass,0,0,1,0,0,22.1,murram,0,23000,EICV5_synthetic
Gasabo,Bumbogo,urban,apartment,2,4,35.1,mixed,cement,iron_sheet,1,0,1,1,1,2.7,tarmac,1,52000,EICV5_synthetic
Gasabo,Gisozi,urban,standalone,4,5,71.0,brick,cement,iron_sheet,0,1,0,0,1,1.8,murram,1,137000,EICV5_synthetic
Gasabo,Ndera,urban,standalone,5,6,109.8,brick,tiles,tiles,1,1,1,1,0,2.0,murram,1,148000,EICV5_synthetic
Gasabo,Ndera,peri_urban,standalone,3,6,66.1,brick,cement,iron_sheet,0,1,1,1,1,7.4,murram,0,29000,EICV5_synthetic
Gasabo,Gisozi,rural,standalone,2,3,45.2,brick,cement,iron_sheet,1,0,1,0,0,17.9,footpath,0,25000,EICV5_synthetic
Gasabo,Jabana,urban,apartment,2,4,32.7,mixed,tiles,iron_sheet,1,1,1,1,0,3.1,tarmac,0,112000,EICV5_synthetic
Gasabo,Gatsata,urban,standalone,3,4,79.5,concrete,tiles,iron_sheet,1,0,0,1,1,4.5,murram,0,64000,EICV5_synthetic
Gasabo,Rusororo,urban,apartment,5,6,90.5,mud_brick,tiles,iron_sheet,1,1,1,1,1,1.5,tarmac,1,40000,EICV5_synthetic
Gasabo,Kacyiru,rural,standalone,2,4,33.6,brick,earth,iron_sheet,1,0,0,0,1,12.0,murram,0,22000,EICV5_synthetic
Gasabo,Remera,urban,villa,3,6,46.7,concrete,tiles,iron_sheet,1,0,1,1,0,3.2,murram,0,62000,EICV5_synthetic
Gasabo,Nduba,urban,standalone,2,5,44.6,brick,cement,iron_sheet,1,1,0,1,1,0.7,murram,1,101000,EICV5_synthetic
Gasabo,Remera,rural,shared_compound,1,4,14.9,mixed,cement,grass,1,0,1,0,0,14.6,murram,0,43000,EICV5_synthetic
Gasabo,Rutunga,peri_urban,apartment,3,6,47.3,concrete,earth,tiles,0,0,0,1,0,6.6,murram,0,92000,EICV5_synthetic
Gasabo,Rusororo,urban,standalone,3,4,71.2,brick,cement,tiles,1,1,1,1,1,2.9,murram,1,49000,EICV5_synthetic
Gasabo,Kinyinya,urban,apartment,5,6,115.2,brick,cement,iron_sheet,1,1,1,1,0,1.9,tarmac,1,161000,EICV5_synthetic
Gasabo,Kimironko,urban,shared_compound,3,5,61.6,brick,cement,concrete,1,1,0,1,1,3.8,murram,0,85000,EICV5_synthetic
Gasabo,Kacyiru,rural,standalone,1,2,22.7,mud_brick,earth,grass,1,0,1,1,0,24.5,footpath,0,38000,EICV5_synthetic
Gasabo,Gikomero,peri_urban,standalone,3,6,45.7,mud_brick,earth,iron_sheet,0,1,0,1,1,7.7,tarmac,0,45000,EICV5_synthetic
Gasabo,Remera,urban,shared_compound,1,4,16.0,mixed,cement,concrete,1,0,1,1,0,2.4,tarmac,1,72000,EICV5_synthetic
Gasabo,Rusororo,urban,standalone,3,4,67.3,concrete,tiles,iron_sheet,1,1,1,1,0,3.6,tarmac,0,77000,EICV5_synthetic
Gasabo,Gatsata,urban,villa,3,6,80.7,brick,tiles,tiles,1,1,0,1,0,4.8,murram,0,40000,EICV5_synthetic
Gasabo,Gatsata,peri_urban,standalone,2,5,33.2,concrete,tiles,iron_sheet,1,1,1,1,0,10.4,tarmac,0,73000,EICV5_synthetic
Gasabo,Jabana,peri_urban,standalone,1,2,15.7,mud_brick,cement,iron_sheet,0,0,1,1,0,10.8,murram,0,78000,EICV5_synthetic
Gasabo,Rusororo,urban,apartment,1,3,17.2,mud_brick,tiles,iron_sheet,1,1,1,0,0,2.4,tarmac,1,40000,EICV5_synthetic
Gasabo,Kinyinya,urban,apartment,4,5,58.0,concrete,tiles,iron_sheet,0,1,1,1,1,3.8,murram,0,40000,EICV5_synthetic
Gasabo,Kinyinya,peri_urban,standalone,1,4,16.7,brick,cement,iron_sheet,1,1,1,0,0,8.0,murram,0,40000,EICV5_synthetic
Gasabo,Shyorongi,urban,standalone,5,6,99.0,brick,tiles,concrete,1,1,0,1,0,2.5,murram,1,41000,EICV5_synthetic
Gasabo,Gatsata,urban,standalone,4,6,60.5,brick,tiles,concrete,1,1,0,1,0,0.8,tarmac,1,51000,EICV5_synthetic
Gasabo,Remera,rural,standalone,2,3,36.8,mud_brick,earth,iron_sheet,0,0,0,0,1,13.2,murram,0,14000,EICV5_synthetic
Gasabo,Shyorongi,urban,shared_compound,2,4,44.2,mixed,tiles,iron_sheet,1,1,0,1,0,3.9,tarmac,0,97000,EICV5_synthetic
Gasabo,Ndera,peri_urban,shared_compound,2,4,51.7,brick,cement,tiles,1,0,1,1,1,11.6,murram,0,31000,EICV5_synthetic
Gasabo,Remera,urban,apartment,3,5,46.9,mud_brick,cement,iron_sheet,1,1,0,1,1,1.7,murram,1,144000,EICV5_synthetic
Gasabo,Bumbogo,rural,standalone,1,3,24.2,brick,cement,iron_sheet,1,1,1,1,0,17.6,murram,0,12000,EICV5_synthetic
Gasabo,Gikomero,peri_urban,shared_compound,1,2,23.4,brick,cement,iron_sheet,0,1,1,0,1,11.7,footpath,0,108000,EICV5_synthetic
Gasabo,Bumbogo,urban,standalone,2,5,53.4,brick,cement,iron_sheet,1,1,1,1,1,3.8,murram,0,40000,EICV5_synthetic
Gasabo,Bumbogo,peri_urban,standalone,2,5,53.9,brick,cement,iron_sheet,1,1,1,0,0,8.8,murram,0,64000,EICV5_synthetic
Gasabo,Remera,urban,apartment,3,4,56.9,brick,cement,iron_sheet,0,1,1,1,0,2.2,murram,1,76000,EICV5_synthetic
Gasabo,Shyorongi,rural,standalone,1,4,22.7,mud_brick,earth,iron_sheet,0,1,1,1,1,15.1,murram,0,15000,EICV5_synthetic
Gasabo,Nduba,peri_urban,apartment,3,6,71.8,mud_brick,cement,iron_sheet,0,0,0,1,0,10.2,murram,0,44000,EICV5_synthetic
Gasabo,Gikomero,peri_urban,standalone,3,5,70.9,mud_brick,cement,iron_sheet,0,0,1,1,0,7.0,tarmac,0,41000,EICV5_synthetic
Gasabo,Bumbogo,urban,shared_compound,3,6,78.4,mixed,tiles,tiles,1,1,1,0,1,3.5,tarmac,0,52000,EICV5_synthetic
Gasabo,Rusororo,peri_urban,apartment,1,3,14.5,brick,earth,iron_sheet,1,0,1,1,0,6.5,footpath,0,59000,EICV5_synthetic
Gasabo,Jali,peri_urban,standalone,1,2,21.9,brick,cement,iron_sheet,1,0,1,0,0,10.1,footpath,0,51000,EICV5_synthetic
Gasabo,Gisozi,peri_urban,apartment,1,4,15.2,brick,cement,iron_sheet,0,1,0,0,0,7.3,murram,0,48000,EICV5_synthetic
Gasabo,Kinyinya,peri_urban,standalone,1,3,23.4,brick,cement,tiles,1,1,1,1,0,11.4,murram,0,180000,EICV5_synthetic
Gasabo,Bumbogo,rural,standalone,3,5,43.7,mud_brick,earth,grass,1,0,1,1,0,22.3,footpath,0,25000,EICV5_synthetic
Gasabo,Jali,urban,standalone,4,5,92.4,concrete,cement,iron_sheet,1,1,1,0,0,4.1,tarmac,0,175000,EICV5_synthetic
Gasabo,Remera,rural,shared_compound,3,5,44.4,mud_brick,earth,grass,0,0,0,1,1,14.9,murram,0,31000,EICV5_synthetic
Gasabo,Kacyiru,urban,standalone,2,3,47.9,brick,tiles,iron_sheet,0,1,0,1,0,2.1,tarmac,1,40000,EICV5_synthetic
Gasabo,Kinyinya,urban,standalone,3,4,72.0,brick,cement,concrete,1,1,1,1,1,3.2,tarmac,0,71000,EICV5_synthetic
Gasabo,Rusororo,peri_urban,apartment,2,3,36.3,mixed,earth,iron_sheet,1,1,1,1,0,10.8,tarmac,0,68000,EICV5_synthetic
Gasabo,Gisozi,urban,apartment,3,4,55.2,brick,cement,concrete,0,1,1,1,0,4.2,tarmac,0,67000,EICV5_synthetic
Gasabo,Jali,peri_urban,standalone,1,4,19.4,brick,cement,iron_sheet,0,1,1,1,0,10.7,murram,0,25000,EICV5_synthetic
Gasabo,Nduba,urban,standalone,2,4,46.7,brick,tiles,iron_sheet,1,1,1,1,0,3.7,tarmac,0,40000,EICV5_synthetic
Gasabo,Bumbogo,urban,shared_compound,3,5,56.2,mixed,cement,iron_sheet,1,1,0,1,0,4.9,tarmac,0,61000,EICV5_synthetic
Gasabo,Kimironko,urban,shared_compound,5,8,89.6,brick,tiles,tiles,0,1,1,1,0,2.3,tarmac,1,79000,EICV5_synthetic
Gasabo,Kimironko,peri_urban,standalone,3,4,44.3,mixed,cement,iron_sheet,0,1,1,1,1,9.1,murram,0,25000,EICV5_synthetic
Gasabo,Ndera,urban,apartment,4,6,92.1,concrete,cement,iron_sheet,1,1,1,1,0,3.3,tarmac,0,97000,EICV5_synthetic
Gasabo,Nduba,peri_urban,apartment,1,3,20.8,mud_brick,cement,iron_sheet,1,0,1,1,0,5.5,murram,0,48000,EICV5_synthetic
Gasabo,Shyorongi,rural,standalone,1,2,25.7,mud_brick,cement,iron_sheet,0,0,1,1,0,16.1,murram,0,25000,EICV5_synthetic
Gasabo,Kacyiru,urban,apartment,4,5,99.8,concrete,cement,iron_sheet,1,1,0,1,1,1.5,tarmac,1,40000,EICV5_synthetic
Gasabo,Bumbogo,peri_urban,standalone,3,6,53.6,concrete,cement,iron_sheet,1,1,1,1,1,6.0,tarmac,0,37000,EICV5_synthetic
Gasabo,Rusororo,urban,apartment,3,5,53.0,concrete,cement,iron_sheet,1,1,1,1,0,3.9,tarmac,0,111000,EICV5_synthetic
Gasabo,Rusororo,urban,standalone,4,5,73.0,concrete,cement,iron_sheet,1,1,1,1,0,2.8,tarmac,1,40000,EICV5_synthetic
Gasabo,Shyorongi,peri_urban,apartment,4,5,60.6,brick,tiles,tiles,0,0,1,1,0,11.2,murram,0,50000,EICV5_synthetic
Gasabo,Kimironko,urban,standalone,2,4,43.8,concrete,tiles,concrete,1,0,1,1,0,4.5,tarmac,0,41000,EICV5_synthetic
Gasabo,Gisozi,peri_urban,shared_compound,1,4,22.3,mud_brick,cement,iron_sheet,1,0,1,1,1,5.7,tarmac,0,26000,EICV5_synthetic
Gasabo,Gisozi,peri_urban,standalone,2,3,34.8,brick,tiles,iron_sheet,0,0,0,1,0,8.8,murram,0,70000,EICV5_synthetic
Gasabo,Jabana,peri_urban,standalone,2,5,51.9,concrete,cement,tiles,0,1,0,0,0,5.2,footpath,0,52000,EICV5_synthetic
Gasabo,Kacyiru,urban,standalone,2,3,35.6,concrete,cement,iron_sheet,1,0,0,0,0,1.1,tarmac,1,73000,EICV5_synthetic
Gasabo,Gisozi,urban,standalone,3,5,73.0,mixed,tiles,tiles,1,0,0,1,1,3.4,tarmac,0,47000,EICV5_synthetic
Gasabo,Gisozi,urban,standalone,3,6,65.8,concrete,tiles,iron_sheet,1,1,1,1,0,1.1,tarmac,1,118000,EICV5_synthetic
Gasabo,Gatsata,peri_urban,apartment,3,5,77.8,brick,earth,iron_sheet,0,1,1,1,1,4.9,murram,0,59000,EICV5_synthetic
Gasabo,Remera,peri_urban,standalone,3,4,56.1,concrete,earth,tiles,1,1,0,1,0,4.2,murram,0,48000,EICV5_synthetic
Gasabo,Nduba,rural,apartment,1,4,21.1,mud_brick,cement,iron_sheet,0,1,0,1,0,15.5,footpath,0,12000,EICV5_synthetic
Gasabo,Remera,rural,shared_compound,2,4,33.8,mud_brick,earth,iron_sheet,0,0,1,0,0,22.2,footpath,0,15000,EICV5_synthetic
Gasabo,Remera,urban,shared_compound,4,7,93.1,brick,cement,concrete,0,1,1,1,0,2.3,murram,1,138000,EICV5_synthetic
Gasabo,Bumbogo,urban,apartment,3,6,55.0,brick,cement,concrete,1,1,1,1,0,2.3,tarmac,1,60000,EICV5_synthetic
Gasabo,Ndera,urban,standalone,3,5,51.4,brick,tiles,iron_sheet,1,1,1,1,1,3.7,tarmac,0,82000,EICV5_synthetic
Gasabo,Kinyinya,urban,villa,2,3,44.5,brick,earth,concrete,1,0,1,1,0,1.2,tarmac,1,84000,EICV5_synthetic
Gasabo,Rusororo,peri_urban,apartment,2,5,32.9,mud_brick,earth,iron_sheet,0,1,1,1,0,11.9,murram,0,45000,EICV5_synthetic
Gasabo,Gisozi,rural,standalone,2,3,50.2,brick,cement,iron_sheet,0,0,0,1,0,12.5,murram,0,40000,EICV5_synthetic
Gasabo,Kinyinya,peri_urban,villa,3,4,62.3,brick,cement,iron_sheet,1,0,1,0,0,6.8,murram,0,25000,EICV5_synthetic
Gasabo,Jabana,peri_urban,standalone,3,6,76.0,brick,earth,iron_sheet,0,1,1,1,0,4.0,murram,0,77000,EICV5_synthetic
Gasabo,Kacyiru,urban,apartment,2,3,45.8,concrete,cement,iron_sheet,1,1,0,1,0,4.9,tarmac,0,132000,EICV5_synthetic
Gasabo,Bumbogo,urban,standalone,2,3,38.7,concrete,tiles,iron_sheet,1,1,1,1,0,1.8,tarmac,1,62000,EICV5_synthetic
Gasabo,Gatsata,rural,apartment,2,4,42.1,mud_brick,cement,iron_sheet,1,0,0,1,0,13.5,murram,0,24000,EICV5_synthetic
Gasabo,Rusororo,urban,shared_compound,4,7,89.3,brick,tiles,iron_sheet,1,1,1,1,0,3.2,tarmac,0,70000,EICV5_synthetic
Gasabo,Gatsata,urban,apartment,3,4,53.2,mixed,tiles,tiles,1,1,1,1,0,3.7,tarmac,0,70000,EICV5_synthetic
Gasabo,Remera,peri_urban,shared_compound,2,4,38.6,mud_brick,cement,iron_sheet,1,0,1,1,1,4.7,murram,0,88000,EICV5_synthetic
Gasabo,Gisozi,urban,standalone,2,4,38.4,brick,tiles,iron_sheet,1,0,1,1,0,4.7,tarmac,0,40000,EICV5_synthetic
Gasabo,Remera,urban,shared_compound,2,4,47.5,brick,earth,tiles,0,1,1,1,0,0.8,tarmac,1,57000,EICV5_synthetic
Gasabo,Gatsata,peri_urban,apartment,3,6,69.8,mud_brick,earth,iron_sheet,1,1,1,0,0,10.3,murram,0,69000,EICV5_synthetic
Gasabo,Remera,urban,standalone,2,5,30.2,concrete,cement,concrete,1,1,0,1,0,4.1,tarmac,0,72000,EICV5_synthetic
Gasabo,Remera,peri_urban,apartment,2,5,29.0,brick,earth,iron_sheet,1,1,1,0,0,3.9,footpath,0,28000,EICV5_synthetic
Gasabo,Bumbogo,urban,shared_compound,3,5,80.3,brick,earth,concrete,1,0,1,1,1,1.9,tarmac,1,126000,EICV5_synthetic
Gasabo,Kimironko,urban,shared_compound,2,4,53.9,brick,cement,tiles,1,1,0,1,0,0.7,tarmac,1,40000,EICV5_synthetic
Gasabo,Kimironko,urban,standalone,4,5,89.9,brick,tiles,iron_sheet,1,0,1,1,1,4.1,murram,0,80000,EICV5_synthetic
Gasabo,Gatsata,urban,apartment,3,5,51.6,concrete,tiles,concrete,1,0,0,0,0,1.7,tarmac,1,77000,EICV5_synthetic
Gasabo,Gisozi,urban,standalone,3,4,64.1,concrete,tiles,iron_sheet,0,1,1,0,1,3.1,tarmac,0,62000,EICV5_synthetic
Gasabo,Rusororo,urban,standalone,4,5,76.8,mud_brick,tiles,concrete,0,0,0,1,0,2.9,tarmac,1,136000,EICV5_synthetic
Gasabo,Ndera,rural,villa,2,4,42.2,brick,cement,iron_sheet,0,1,1,0,1,10.0,murram,0,38000,EICV5_synthetic
Gasabo,Ndera,urban,standalone,3,5,51.6,concrete,tiles,iron_sheet,1,1,1,0,0,4.6,tarmac,0,62000,EICV5_synthetic
Gasabo,Ndera,peri_urban,apartment,3,4,71.6,concrete,earth,iron_sheet,1,0,1,1,0,7.3,murram,0,29000,EICV5_synthetic
Gasabo,Bumbogo,peri_urban,apartment,2,4,45.2,concrete,earth,iron_sheet,1,1,1,1,0,9.6,murram,0,103000,EICV5_synthetic
Gasabo,Gisozi,urban,apartment,2,5,31.1,brick,cement,iron_sheet,1,1,0,1,1,4.1,tarmac,0,40000,EICV5_synthetic
Gasabo,Rusororo,urban,standalone,3,5,66.2,mud_brick,cement,concrete,1,1,1,1,0,4.9,tarmac,0,124000,EICV5_synthetic
Gasabo,Kimironko,peri_urban,shared_compound,2,5,45.9,mixed,earth,iron_sheet,1,1,1,0,1,10.7,tarmac,0,52000,EICV5_synthetic
Gasabo,Kinyinya,peri_urban,apartment,1,4,21.9,concrete,earth,iron_sheet,0,1,1,0,0,3.9,murram,0,27000,EICV5_synthetic
Gasabo,Rutunga,urban,standalone,3,5,44.7,mud_brick,cement,concrete,1,1,0,1,1,2.1,tarmac,1,72000,EICV5_synthetic
Gasabo,Kimironko,peri_urban,shared_compound,1,3,26.8,brick,tiles,iron_sheet,1,0,1,0,0,6.1,murram,0,97000,EICV5_synthetic
Gasabo,Bumbogo,urban,standalone,2,3,43.6,concrete,cement,iron_sheet,0,1,1,1,0,2.0,tarmac,1,92000,EICV5_synthetic
Gasabo,Ndera,urban,standalone,1,4,16.4,mixed,cement,tiles,1,1,1,1,0,0.6,tarmac,1,122000,EICV5_synthetic
Gasabo,Kacyiru,urban,shared_compound,3,6,75.5,brick,cement,iron_sheet,1,1,0,1,0,2.1,murram,1,76000,EICV5_synthetic
Gasabo,Bumbogo,peri_urban,apartment,1,2,22.0,mud_brick,earth,iron_sheet,1,0,1,1,0,10.3,footpath,0,41000,EICV5_synthetic
Gasabo,Gisozi,urban,standalone,2,3,40.4,mud_brick,tiles,iron_sheet,1,1,1,1,0,1.1,tarmac,1,125000,EICV5_synthetic
Gasabo,Gatsata,rural,standalone,2,3,46.6,mud_brick,cement,grass,0,0,0,1,0,12.1,murram,0,16000,EICV5_synthetic
Gasabo,Remera,urban,standalone,2,5,35.5,mixed,cement,iron_sheet,1,1,0,1,0,4.2,tarmac,0,62000,EICV5_synthetic
Gasabo,Kimironko,urban,standalone,1,3,16.4,mud_brick,tiles,tiles,1,1,1,1,0,2.7,tarmac,1,63000,EICV5_synthetic
Gasabo,Kacyiru,peri_urban,shared_compound,2,4,35.1,brick,cement,iron_sheet,0,0,1,1,0,7.8,murram,0,36000,EICV5_synthetic
Gasabo,Jabana,urban,standalone,1,2,15.0,brick,cement,iron_sheet,0,1,1,1,0,2.0,tarmac,1,195000,EICV5_synthetic
Gasabo,Kacyiru,urban,apartment,4,6,77.1,concrete,earth,iron_sheet,0,1,1,1,0,3.8,tarmac,0,40000,EICV5_synthetic
Gasabo,Shyorongi,urban,standalone,2,4,52.7,concrete,tiles,iron_sheet,1,0,1,0,0,1.3,tarmac,1,73000,EICV5_synthetic
Gasabo,Shyorongi,rural,standalone,1,4,16.2,brick,cement,iron_sheet,0,1,1,1,0,20.7,murram,0,42000,EICV5_synthetic
Gasabo,Gikomero,urban,standalone,3,5,77.6,mud_brick,cement,concrete,1,1,1,0,1,3.8,tarmac,0,62000,EICV5_synthetic
Gasabo,Gatsata,peri_urban,standalone,2,3,51.4,brick,tiles,iron_sheet,1,1,1,1,1,7.3,murram,0,69000,EICV5_synthetic
Gasabo,Jabana,urban,shared_compound,3,5,57.3,concrete,cement,tiles,1,1,0,1,0,1.0,murram,1,157000,EICV5_synthetic
Gasabo,Jabana,peri_urban,standalone,3,6,74.3,brick,cement,tiles,0,1,0,1,1,5.5,murram,0,56000,EICV5_synthetic
Gasabo,Gikomero,rural,apartment,2,5,53.8,brick,earth,iron_sheet,1,1,1,0,0,24.1,murram,0,19000,EICV5_synthetic
Gasabo,Kimironko,urban,shared_compound,1,2,14.9,brick,cement,concrete,1,0,0,1,0,4.4,tarmac,0,53000,EICV5_synthetic
Gasabo,Remera,urban,apartment,5,6,95.5,mud_brick,tiles,concrete,1,1,1,0,0,3.0,tarmac,1,40000,EICV5_synthetic
